task,variant,n_datasets,centroid_loss_pct,centroid_effort_saved_pct,median_loss_pct,centroid_loss_pct_ci_low,centroid_loss_pct_ci_high,centroid_effort_saved_pct_ci_low,centroid_effort_saved_pct_ci_high,on_full_effort_loss_frontier
classification_entropy,"samples=ln_n,q=0.5",122,0.5086591351885609,18.68237003793561,0.38636407366917924,0.1339171372156085,0.8987728706652423,11.526618741890346,25.734140550701316,False
classification_entropy,"samples=ln_n,q=0.75",122,0.23735400619837912,13.443903872403144,0.341869129388829,-0.10247962595794562,0.5669282389946003,6.041082438650153,20.580550042000848,False
classification_entropy,"samples=ln_n,q=0.9",122,0.4059716178295778,6.978594077224117,0.43148749619307536,0.0675546566772727,0.7389879526070866,-0.8366841794774897,14.432197115750247,False
classification_entropy,"samples=ln_n,q=0.95",122,0.5851644509776556,2.642947507697514,0.46412323936958766,0.2316282257808616,0.9315855848444407,-5.629166183498514,10.56043162086685,False
classification_entropy,"samples=sqrt_n,q=0.5",122,0.5505620724717475,29.613827454296793,0.4048496957944764,0.1947520693105738,0.9183381152773371,22.74371659576888,36.120701471418954,False
classification_entropy,"samples=sqrt_n,q=0.75",122,0.47810155751026107,24.685738260751023,0.456325906100738,0.11293411677310747,0.8371835778912302,17.248359923439246,31.918258454772584,False
classification_entropy,"samples=sqrt_n,q=0.9",122,0.4450295014956146,22.86541727339264,0.4368776653171702,0.10713743174399765,0.7791255495716776,15.661287100426076,29.65652419631855,False
classification_entropy,"samples=sqrt_n,q=0.95",122,0.4359093993572315,21.65975945242567,0.45673830078025446,0.1032751886633961,0.7581309162577199,14.768110203544618,28.354226643046577,False
classification_gini,"samples=0.1n,q=0.5",122,0.662557711861734,28.289222732931734,0.3322918904969385,0.2581755773865349,1.0831623713976015,21.335889811157294,35.05253930134443,False
classification_gini,"samples=0.1n,q=0.75",122,0.5385361564780925,23.593218164055475,0.41494337882506394,0.14353767254373878,0.9454079860279689,16.46074274703145,30.50601129715161,False
classification_gini,"samples=0.1n,q=0.9",122,0.43107174902955986,21.296354498749135,0.30910957585494336,0.049183044370783226,0.8280230039094837,14.488523052906052,27.93324098455855,False
classification_gini,"samples=0.1n,q=0.95",122,0.43392132563382835,19.719581430093186,0.2844319190950573,0.054312775646325966,0.8174996275893214,12.97851223866282,26.363679560817307,False
classification_gini,"samples=10,q=0.5",122,0.6560060396683205,16.10021480135374,0.32246595002099476,0.22365138126923437,1.0994517971228364,8.90387022887608,23.303740821168955,False
classification_gini,"samples=10,q=0.75",122,0.4204843031587694,11.405560701628605,0.2913817825113463,0.0433240843263334,0.826841992131634,4.2223872541144,18.369762617633825,False
classification_gini,"samples=10,q=0.9",122,0.45633317406568746,5.531692933650942,0.32110499975092355,0.07377803726182422,0.8407757425322582,-1.937605761031827,12.942605326387874,False
classification_gini,"samples=10,q=0.95",122,0.5941462038281808,1.6668606296038615,0.3101104818005379,0.17011007711130854,1.027420099401721,-6.219151386998174,9.399330579072384,False
classification_gini,"samples=2,q=0.5",122,0.5194748750298375,25.562075433729362,0.3111896386846849,0.1540462923379192,0.9037312430310978,18.463957917696476,32.582681096895925,False
classification_gini,"samples=2,q=0.75",122,0.4467364951800353,21.8128611083635,0.3749570305223021,0.06644820778482866,0.8589547320045328,14.235750151744787,29.135138232230425,False
classification_gini,"samples=2,q=0.9",122,0.7021736336240717,15.84174923879208,0.45844153258138287,0.27046251400430676,1.165601948806304,7.36042927908444,23.753310384400535,False
classification_gini,"samples=2,q=0.95",122,0.773871726866506,14.497781991316092,0.47069484970111986,0.3409786680153291,1.2457711761660526,6.2175399069192,22.52179598541555,False
classification_gini,"samples=ln_n,q=0.5",122,0.6318597220785976,18.85244758106062,0.2912679935096363,0.23416673610846317,1.0693594498108832,11.413819549009807,25.956833899078287,False
classification_gini,"samples=ln_n,q=0.75",122,0.38370506956488193,14.354028268791666,0.3520315584636863,0.01905794160441423,0.7570220821143233,7.166716077452156,21.625343761621185,False
classification_gini,"samples=ln_n,q=0.9",122,0.48475304372809996,8.467099221327263,0.3084579874560234,0.08073780092680773,0.90094516639675,0.9328397134640656,15.960542746195719,False
classification_gini,"samples=ln_n,q=0.95",122,0.6475048474039687,4.557592776039177,0.3197483840977039,0.23757262979744173,1.0813728293914373,-3.6890109677697946,12.595422822146782,False
classification_gini,"samples=sqrt_n,q=0.5",122,0.5786336945051749,29.700313534752286,0.2653479139963555,0.1715864017314296,1.0133937007977891,22.794137405802083,36.49504199899154,False
classification_gini,"samples=sqrt_n,q=0.75",122,0.5496638589390934,25.49583021415659,0.4400298779040662,0.13931349988226388,0.9734474296760581,18.15735556552601,32.53563852194884,False
classification_gini,"samples=sqrt_n,q=0.9",122,0.4891056920778183,23.942655920669964,0.43374693387897567,0.08565518497686714,0.9109133025020312,16.76438272919751,30.773620954015097,False
classification_gini,"samples=sqrt_n,q=0.95",122,0.5037909217586813,22.89904813346609,0.4202595585500152,0.10156647625529318,0.9346632830403778,16.010469737691857,29.647235105927056,False
regression,"samples=0.1n,q=0.5",113,15.40809973315454,49.752778763269234,13.255465926879184,13.010598502904285,18.054662927480667,45.87438956289241,53.3514084713012,False
regression,"samples=0.1n,q=0.75",113,10.879587496991737,45.89027067688431,9.128644589437462,8.998182295717406,12.835976354418941,42.29089018822853,49.08323494276856,False
regression,"samples=0.1n,q=0.9",113,8.937824818310425,41.915661931948144,7.879868377274779,7.183949147146023,11.034211504196714,38.61877358596952,44.83660390809463,False
regression,"samples=0.1n,q=0.95",113,11.407929213574487,40.641157560022855,10.242068936562472,9.352669296539595,13.70640526914237,37.349654112715506,43.534824194427706,False
regression,"samples=10,q=0.5",113,14.919468643492726,34.343539803259475,12.815605624178183,12.559702550125493,17.39069544626432,29.158608745497453,38.98592057180446,False
regression,"samples=10,q=0.75",113,9.373641759025936,28.47961159264068,7.564193998822821,7.680608762106134,11.12371867226921,23.852751078931348,32.75318738328063,False
regression,"samples=10,q=0.9",113,7.210988342005142,23.111873181160966,5.741376978482338,5.603847686588205,9.070597638949735,18.982594792526104,26.883421534975245,False
regression,"samples=10,q=0.95",113,10.592799765732982,21.608347501399194,9.370206119609975,8.72378210608026,12.726459590524092,17.739092909205354,25.191955853528235,False
regression,"samples=2,q=0.5",113,16.902112268974577,47.36988499890977,14.535000187127235,14.24315360255397,19.74594356900465,42.58516167143233,51.65404751811737,False
regression,"samples=2,q=0.75",113,13.513775155600147,44.108902555492186,11.605822023439261,11.271371409776695,15.904838985146982,39.4980919531334,48.250418794882414,False
regression,"samples=2,q=0.9",113,13.828672840742508,41.89771390858399,12.181323165548053,11.486798182983264,16.34550111251297,37.80367806770609,45.740752082584784,False
regression,"samples=2,q=0.95",113,15.121927709804574,41.32495388913884,12.954738452405866,12.643903760730872,17.74487998496081,37.147538958276364,45.10395961695176,False
regression,"samples=ln_n,q=0.5",113,14.756736617359028,37.99837925084935,12.652782598117469,12.323064818570483,17.26694922843747,32.87228552929256,42.56061979683706,False
regression,"samples=ln_n,q=0.75",113,9.66131679084731,32.29201347737708,8.265291207103537,7.881084500707617,11.559987122335421,27.778050401079458,36.49698263838418,False
regression,"samples=ln_n,q=0.9",113,7.961107253849627,27.566250038896182,6.636702531602001,6.301742586935918,9.887699550132746,23.618299478423292,31.18748731102577,False
regression,"samples=ln_n,q=0.95",113,10.793079909353448,26.133614751154546,9.440771758938677,8.831494231995945,12.973800683419805,22.36388289483109,29.643628110510296,False
regression,"samples=sqrt_n,q=0.5",113,15.854988842452178,51.44483300945784,13.736003695208503,13.357871716668644,18.421137259923757,47.39195851230098,55.10129229265578,False
regression,"samples=sqrt_n,q=0.75",113,12.55496477315327,48.72866847313036,11.231486471071134,10.470252660643494,14.756676823644455,44.912038108699264,52.166097979644654,False
regression,"samples=sqrt_n,q=0.9",113,11.19250391090016,46.061402419815835,10.073585040266819,9.201283311189847,13.446218600009246,42.464719729694586,49.39787396807416,False
regression,"samples=sqrt_n,q=0.95",113,13.024188841294883,45.247012070630895,12.21688818697666,10.81240830181469,15.44812792865468,41.632069906200684,48.61375080775482,False
