task,dataset,variant,loss_pct,effort_saved_pct,n_paired_runs,sample_budget,q
regression,1199_BNG_echoMonths,"samples=ln_n,q=0.9",-0.8458343331579132,48.81760246615984,100,ln_n,0.9
regression,1199_BNG_echoMonths,"samples=ln_n,q=0.95",-0.5833564440675842,43.97054878109107,100,ln_n,0.95
regression,1199_BNG_echoMonths,"samples=sqrt_n,q=0.5",-1.889148546000663,68.62746966622223,100,sqrt_n,0.5
regression,1199_BNG_echoMonths,"samples=sqrt_n,q=0.75",-1.6566646224745574,66.20892958675992,100,sqrt_n,0.75
regression,1199_BNG_echoMonths,"samples=sqrt_n,q=0.9",-1.419468310859373,62.04914715075781,100,sqrt_n,0.9
regression,1199_BNG_echoMonths,"samples=sqrt_n,q=0.95",-1.1083404592410862,59.59470674195818,100,sqrt_n,0.95
regression,197_cpu_act,"samples=0.1n,q=0.5",12.757884825867722,67.8957051189561,100,0.1n,0.5
regression,197_cpu_act,"samples=0.1n,q=0.75",9.128644589437462,62.40958576793177,100,0.1n,0.75
regression,197_cpu_act,"samples=0.1n,q=0.9",6.722370946899031,54.690163693033504,100,0.1n,0.9
regression,197_cpu_act,"samples=0.1n,q=0.95",8.60493302320754,53.214380567355384,100,0.1n,0.95
regression,197_cpu_act,"samples=10,q=0.5",12.468781415443143,57.98250141697341,100,10,0.5
regression,197_cpu_act,"samples=10,q=0.75",8.874220421111477,50.5230095199009,100,10,0.75
regression,197_cpu_act,"samples=10,q=0.9",8.179072597271048,42.02974343930082,100,10,0.9
regression,197_cpu_act,"samples=10,q=0.95",8.569714212656093,39.293448181407264,100,10,0.95
regression,197_cpu_act,"samples=2,q=0.5",13.881740688814586,68.30713711391593,100,2,0.5
regression,197_cpu_act,"samples=2,q=0.75",10.541538232776698,64.24544935657889,100,2,0.75
regression,197_cpu_act,"samples=2,q=0.9",12.159504093433265,60.424856657356294,100,2,0.9
regression,197_cpu_act,"samples=2,q=0.95",12.398675754005989,59.55954231928365,100,2,0.95
regression,197_cpu_act,"samples=ln_n,q=0.5",11.999218439611203,58.49252453051129,100,ln_n,0.5
regression,197_cpu_act,"samples=ln_n,q=0.75",8.471013566296136,51.25697790091178,100,ln_n,0.75
regression,197_cpu_act,"samples=ln_n,q=0.9",6.728038506946261,43.02816169194429,100,ln_n,0.9
regression,197_cpu_act,"samples=ln_n,q=0.95",8.132961699536212,40.27221670932161,100,ln_n,0.95
regression,197_cpu_act,"samples=sqrt_n,q=0.5",13.839532438221909,70.98224946214414,100,sqrt_n,0.5
regression,197_cpu_act,"samples=sqrt_n,q=0.75",11.231486471071134,68.73183796253096,100,sqrt_n,0.75
regression,197_cpu_act,"samples=sqrt_n,q=0.9",11.437088023487096,65.16350344097418,100,sqrt_n,0.9
regression,197_cpu_act,"samples=sqrt_n,q=0.95",12.46820927805547,64.3685811734043,100,sqrt_n,0.95
regression,201_pol,"samples=0.1n,q=0.5",26.993262450282852,44.10576516077052,100,0.1n,0.5
regression,201_pol,"samples=0.1n,q=0.75",23.80875791887504,40.204393511529176,100,0.1n,0.75
regression,201_pol,"samples=0.1n,q=0.9",18.975753523389077,38.90303564942823,100,0.1n,0.9
regression,201_pol,"samples=0.1n,q=0.95",19.25216704209884,37.000312476231855,100,0.1n,0.95
regression,201_pol,"samples=10,q=0.5",26.986105135550766,22.116704942333392,100,10,0.5
regression,201_pol,"samples=10,q=0.75",22.34849286569743,16.912366425572973,100,10,0.75
regression,201_pol,"samples=10,q=0.9",18.43060375243713,13.588691420321382,100,10,0.9
regression,201_pol,"samples=10,q=0.95",20.94227797100141,9.426733186639126,100,10,0.95
regression,201_pol,"samples=2,q=0.5",27.114075969614593,39.36220644273541,100,2,0.5
regression,201_pol,"samples=2,q=0.75",22.304893722573453,37.21829953905609,100,2,0.75
regression,201_pol,"samples=2,q=0.9",22.114436976416542,35.25140372156669,100,2,0.9
regression,201_pol,"samples=2,q=0.95",24.791140775184843,33.31937561634864,100,2,0.95
regression,201_pol,"samples=ln_n,q=0.5",26.986105135550766,22.116704942333392,100,ln_n,0.5
regression,201_pol,"samples=ln_n,q=0.75",22.34849286569743,16.912366425572973,100,ln_n,0.75
regression,201_pol,"samples=ln_n,q=0.9",18.43060375243713,13.588691420321382,100,ln_n,0.9
regression,201_pol,"samples=ln_n,q=0.95",20.94227797100141,9.426733186639126,100,ln_n,0.95
regression,201_pol,"samples=sqrt_n,q=0.5",26.344762604764483,49.25067288658824,100,sqrt_n,0.5
regression,201_pol,"samples=sqrt_n,q=0.75",26.344762604764483,49.25067288658824,100,sqrt_n,0.75
regression,201_pol,"samples=sqrt_n,q=0.9",26.344762604764483,49.25067288658824,100,sqrt_n,0.9
regression,201_pol,"samples=sqrt_n,q=0.95",26.344762604764483,49.25067288658824,100,sqrt_n,0.95
regression,210_cloud,"samples=0.1n,q=0.5",7.094854296794645,37.977429187195995,100,0.1n,0.5
regression,210_cloud,"samples=0.1n,q=0.75",4.290001843618757,35.723815877251496,100,0.1n,0.75
regression,210_cloud,"samples=0.1n,q=0.9",2.7915211387445957,33.792950072278444,100,0.1n,0.9
regression,210_cloud,"samples=0.1n,q=0.95",5.583169659735149,33.077607293751385,100,0.1n,0.95
regression,210_cloud,"samples=10,q=0.5",7.221874539951273,18.26318921091024,100,10,0.5
regression,210_cloud,"samples=10,q=0.75",2.361426389477711,13.603513453413392,100,10,0.75
regression,210_cloud,"samples=10,q=0.9",2.7850493177505764,9.262245601494556,100,10,0.9
regression,210_cloud,"samples=10,q=0.95",2.752496293570977,10.068375642943789,100,10,0.95
regression,210_cloud,"samples=2,q=0.5",8.034109922808558,35.080891863587425,100,2,0.5
regression,210_cloud,"samples=2,q=0.75",4.911655905064227,33.09056736515919,100,2,0.75
