task,metric,unit,method_key,splitter,variant,analysis_tier,reference_method,method_selection_tier,n_paired_datasets,n_nonzero_differences,mean_paired_effect,median_paired_effect,fraction_favorable_or_tied,wilcoxon_pvalue_raw,signed_rank_biserial,centroid_hierarchical_ci_low,centroid_hierarchical_ci_high,median_hierarchical_ci_low,median_hierarchical_ci_high,wilcoxon_pvalue_holm,reject_holm_0.05
classification_gini,predictive_loss_pct,F1_percentage_points,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,115,0.15998585461963719,0.10130160740334793,0.44262295081967212,0.12276102752956232,0.16581709145427287,-0.15385834391958847,0.49617400087582597,0,0.23597880015500508,0.28876319981303716,False
classification_gini,predictive_loss_pct,F1_percentage_points,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,115,0.11083941414011982,0.045244775004379956,0.44262295081967212,0.09625439993767905,0.17871064467766118,-0.071893203321928875,0.30280502199834503,0,0.16461962432267127,0.28876319981303716,False
classification_gini,predictive_loss_pct,F1_percentage_points,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,112,0.065883659196678601,0.033429616709276799,0.45901639344262296,0.18556077326250775,0.14412136536030343,-0.12308964224403762,0.25179242915717709,0,0.11436283090997332,0.28876319981303716,False
classification_gini,predictive_loss_pct,F1_percentage_points,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,119,5.686078090825462,2.6747724115334326,0.19672131147540983,7.8504105940699735e-14,0.78935574229691874,4.1136111785389042,7.4510989038986057,1.5666109893978977,3.6144680539678267,6.2803284752559788e-13,True
classification_gini,predictive_loss_pct,F1_percentage_points,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,107,0.32894452576257927,0.029716089778455967,0.42622950819672129,0.0044574743932126511,0.31671858774662515,0.054012606509973408,0.62215720252756668,0,0.26445725109471979,0.022287371966063257,True
classification_gini,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,121,8.0966127878855438,4.5731456682917866,0.13934426229508196,5.8130919621254483e-17,0.87671047283565917,6.3945029679744803,9.8954224947969944,3.2155465354615758,7.1100466264494955,5.2317827659129038e-16,True
classification_gini,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,120,2.7523096645198306,1.7357982984680609,0.21311475409836064,1.386589232266086e-11,0.71101928374655643,1.991276015249698,3.5531104011904011,1.2820864019671239,2.5969166541582904,9.7061246258626026e-11,True
classification_gini,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,119,1.0517812220525822,1.0061417593809434,0.32786885245901637,1.2116103078194115e-05,0.46218487394957986,0.50363480613514677,1.6276622855766079,0.39928345372988455,1.3273634838826316,7.2696618469164686e-05,True
classification_gini,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,113,0.42427543704907622,0.29098091851842978,0.42622950819672129,0.010825581386047068,0.27619934792734047,-0.02530373754698044,0.90771319580815624,0,0.61229446973920254,0.043302325544188273,True
classification_gini,effort_saved_pct,percent_gain_evaluations,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,37.370112114153294,42.44613232557672,1,9.2399522827149226e-22,1,34.694572223996282,39.919206903647996,38.451309266837541,45.315471426444709,8.3159570544434308e-21,True
