task,dataset,method_key,splitter,variant,analysis_tier,block_length_runs,estimate_time_saved_pct,ci_low,ci_high,confidence,n_complete_paired_runs,n_bootstrap,interval_method,unit
regression,1030_ERA,secretary|ln_n,secretary,ln_n,exploratory,5,15.47907827239513,11.362401666193811,16.946009428715804,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary|sqrt_n,secretary,sqrt_n,exploratory,5,15.145962978947002,12.728400916619798,18.032206154559162,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,block_rank|,block_rank,,confirmatory,5,30.974206742164679,27.241079775871125,32.225317179068739,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,23.105218805566608,19.098920975960944,26.535197204200834,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,double_secretary|1overe,double_secretary,1overe,confirmatory,5,8.4846236474488421,0.26096884683539656,11.119302125573361,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,17.712002918510393,16.612365004425733,18.47892861532301,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,14.474828965209507,5.2771565012479149,15.814274823592756,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,33.462179938543891,29.189273561981533,35.201327020735448,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,29.592115773326068,25.359028834755691,31.975543040209931,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,22.36502121027052,15.369873514754239,26.985229447686166,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,20.928210724588581,15.440242353174217,23.687629937650723,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,prophet_1sample|,prophet_1sample,,confirmatory,5,16.312362327944385,13.774164436700065,18.510084580347975,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,21.927518703615345,18.920241396181382,23.820882297875421,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary_all|1overe,secretary_all,1overe,confirmatory,5,13.129205839846215,8.6310070036582651,15.721765229157814,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,16.290364369871924,11.8334993795721,19.886922320562704,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,17.628076775562629,13.617557114598677,19.729383537118139,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary|0.1n,secretary,0.1n,exploratory,5,28.652602392935588,24.49242988235757,29.873928476389679,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary|1overe,secretary,1overe,confirmatory,5,8.8083701170953219,5.1257408729518232,10.813707829661423,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary|ln_n,secretary,ln_n,exploratory,5,20.851110309370313,14.736913486682834,22.365285096574659,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1089_USCrime,secretary|sqrt_n,secretary,sqrt_n,exploratory,5,19.221099457319657,17.052280415932842,20.803515729891686,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,block_rank|,block_rank,,confirmatory,5,19.005792422677526,13.010355441804878,21.866015164343477,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,15.975688994467529,12.98342541437062,18.254516734140168,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,double_secretary|1overe,double_secretary,1overe,confirmatory,5,12.960918606102611,3.120781392325489,16.103447286472427,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,14.862061710520225,12.786237359051633,17.42149281997234,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,13.163391939055103,5.9972762481429465,15.699048224934343,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,18.116983312883928,7.752923437633596,19.739447377039955,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,18.60874069079027,14.830207805371476,20.434440731272186,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,16.623160587384579,10.232890063602607,18.776013565583671,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,14.891065781373625,2.6741188500213342,18.158826713294872,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,prophet_1sample|,prophet_1sample,,confirmatory,5,11.159066293103926,6.4243832970000465,15.082206383426232,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,12.636173239136717,4.0158543377098788,14.094587750321995,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary_all|1overe,secretary_all,1overe,confirmatory,5,15.692561090817536,14.332030688219755,16.573291229511121,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,13.682577118494343,2.904865649945243,17.280715276720603,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,16.419362039015805,8.8320475983074687,17.46077973694079,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary|0.1n,secretary,0.1n,exploratory,5,15.559232916533826,13.069611152354854,18.592606137146028,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary|1overe,secretary,1overe,confirmatory,5,4.979496222470436,-10.601277222699967,10.101901558402471,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1096_FacultySalaries,secretary|ln_n,secretary,ln_n,exploratory,5,13.105833536033352,4.1985051031980696,18.195081823704474,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
